name,characters
box_204,"['adidas', 'performance', 'us', 'crazy', '97', 'gwt', 'work', 'can', 'cause', 'new', 'nownoss', '109', '99', 'q13087']"
box_205,"['sedre', 'annoracwats', 'and', '00', 's150', 'smith', 'se', 'stan', 'cm8000', '8', '411', '255', '260']"
box_206,"['adidas', 'ultra', 'boost', 'bape', 'gsa7sa', '15', 'into', '8', '411', '71', 'more']"
box_207,"['adidas', '4167412', 'eqt', 'support', 'adv', '702', 'us', 'bb1307', '11', 'aucorrenouncion', 's', '110', '00', 'ancompancation', 'pencawes', '011211110b', 'outswort', '451', '101', 'work']"
box_208,"['nmd', 'r1', 'bb1968', '7', '40', '6t', 'oncive', 'oncruss', 'pownations']"
box_209,"['adidas', '00078', 'slam', '8', 'have', '1993', '3st', '002', 'bape', 'a', 'nuncolmunate', 'out', 'ubjoos', 'da3003', '10', '44', '91', '280', '270']"
box_210,"['adidas', 'cg3003', 'style', 'dept', '123', 'blk', 'ultraboost', 'terrain', 'all', 'ltd', 'cg3003', '00', 'us', 'inside', 's240', '10', 'cossess', '44', '91', 'kundown', 'courgeable', 'occuratule']"
box_211,"['january', 'adidas', 'g54784', 'bape', 'boost', 'ultra', '11', '111', '46', '11', 'on', '285', '295', 'courseapied', 'university']"
box_212,"['eqt', 'support', 'ultra', 'pk', 's76777', '81', 'stonestonestone', 'pleare', 'pierrepierre', 'originals', 'originals', 'us', 'poster', 'bon', '42', '8', 'now', 'now', 'more', 'ameout', 'a', 'now', 'ussang', 'any']"
box_213,"['adidas', 'iniki', 'runner', 'b82092', '14', '491', '131', 'wrob', 'originals', 'originals', 'companall', 'and', 'to']"
box_214,"['adidas', 'boost', 'ultra', 'strew', 'm', '10', '44', '91', 'conse', 'aven']"
box_215,"['139477', 'nmd', 'xr1', '709', 'us', 'by9922', '9', 'franstitions', '150', '00', 'flast', 's', 'ax11001410', 'eniginals', 'ux', '424', '81']"
box_216,"['adidas', 's77417', 'boost', 'ultra', 'm', '601', '101', '42', '07677', '9', '04', '10', '441', 'ruminocourse', 'running', 'compandon', 'and']"
box_217,"['guides', 'nmd', 'r1', 'bb2886', 'us', '10', 'uk', 'f', '91', '44', '89136', '95366', '8', '0', 'originals', 'originals', 'upc', 'pos', '116248250', 'compatible', 'made', 'fabrique', 'in', 'vietnam', 'au', 'vietnam', 'absedonusionance']"
box_218,"['ultra', 'pk', 'eqt', 'support', 'us', 's76777', '91', 'statementalists', 'pierre', '43j', '9', 'originals', 'on', 'not', 'a', 'now', '275', '265', 'propulinous']"
box_219,"['adidas', 'eqt', 'support', 'adv', 'us', 'bb2791', '12', 'comminting', 'blacryftibulaturbo', 'originals', 'originals', 'jux', '467', '114', 'won', 'on', 'pau', 'un', 'for', 'mania', 'tamasque', 'by', 'and', 'misroassorian']"
box_220,"['adidas', 'g547sa', 'boost', 'bape', 'ultra', '6', '381', '51']"
box_221,"['adidas', 'ultra', 'boost', 'bape', 'g54784', 'jot', '10', '44i', '10', '285', '275', 'running', 'course', 'apsed']"
size_282,"['china', 'in', 'made', 'chn', 'jp', 'fr', 'uk', 'us', '285', '295', '46', '11', '113', '01119', '606001', 'yya', 'g54784', 'art', 'h1221754', 'f56thsses', 'odidas']"
size_283,"['made', 'us', 'in', 'uk', 'china', 'fr', '84', '8', 'ape', '12', 'jp', '779001', 'chn', '265', 'mal', '260', 'art', 'e', 'may', 'stg', 'a', 'the']"
size_284,"['made', 'in', 'china', 'us', 'uk', 'fr', 'jpchn', '9x', '9', '43x', '275', '286', 'malemale', 'clu', '800001', '10113', 'art', 'g98310', 'hi08680579', 'adidac', 'disiddeconding']"
size_285,"['made', 'in', 'vietnam', 'us', 'uk', 'fr', 'jp', 'chn', '14', '135', '49x', '320', '305', 'shw', '675001', '10j16', 'malemale', 'to', 'art', 'bb2092', 'h116172953', 'adidas', 'idwszorsoning']"
size_286,"['made', 'us', 'in', 'uk', 'vietnam', '9', 'fr', 'lhg', 'any', 'jp', 'chn', '270', 'the', 'maleimale', '265', '12716', 'art', 'adidas', 'bb2885', 'h116380131', 'infrovibouts']"
size_287,"['made', 'usiully', 'male', 'i', 'i']"
size_288,"['made', 'in', 'vietnam', 'us', 'jpchn', 'uk', 'fr', '295', '285', '46', '11x', '11', 'maleimale', '06m16', '875001', 'shw', 'now', 'artbbig67', 'i', 'hi14801846', '3datzlife0028', 'in', 'idas']"
size_289,"['made', 'china', 'in', 'us', 'uk', 'fr', 'jpchn', '10x', '10', '4xx', '275', 'maleimale', 'yya', '10m1', '606001', 'any', 'art', 's77417', 'h113624203', 'adidas', 'viapozot01116', 'i']"
size_290,"['made', 'us', 'uk', '240', '285', '8', 'male', 'male', '10415', '808001', 'you', 'i', 'a', '3774', 'art', 'hi1302420b', 'and', 'vjappodro', 'adidas']"
size_291,"['a', 'made', 'in', 'vietnam', 'us', 'uk', 'fr', 'jp', 'chn', '10', '93', '44', '280', '270', 'lag', '029003', '12j', '16', 'maleimale', 'art', '882886', '1162482250', 'ordool', 'inforcobizes']"
size_292,"['india', 'in', 'jpchn', 'made', 'ukfr', '245', '255', 'us', '40', '63', '03m6', '011001', 'artm20605', 'apc', 'hi114431911', 'nnizawbroobs', 'bs']"
size_293,"['made', 'in', 'vietnam', 'us', 'uk', 'fr', 'jp', 'chn', '9', '84', '42x', '270', '265', 'pyv', '702001', '11116', 'malemale', 'cg2917', 'art', 'h116351204', 'jvantibigabia', 'adidas']"
size_294,"['restating', 'popino', 'an', 'assos', '4v', 'al', 'a']"
size_295,"['vv', 'made', 'in', 'chings', 'us', 'uk', 'fr', '93', '43', '275', '265', 'ape', '779001', 'mai']"
size_296,"['made', 'be', '113', 'cosstrop', '200', 'a', '12', 'to', 'mai', 'i', 'mai', 'i', 'art', 'bb2', '191', '44', 'shermon', 'auldoo']"
size_297,"['boost', 'china', 'made', 'in', 'chn', 'us', 'jp', 'uk', 'fr', '235', '240', '6', '5k', '38x', '12718', 'yya', '606001', 'malemale', 'g54784', 'art', '1810', 'h12152', 'exxemonsess', 'odidad', 'of']"
size_298,"['made', 'in', 'china', 'us', 'uk', 'fr', 'jpphn', '9x', '9', '43x', '275', '265', 'maleimale', 'clu', '600001', '07h13', 'down', 'art', 'q33087', 'x', 'h108147225', 'adidas', 'didofdyzdood2']"
size_299,"['made', 'in', 'china', 'us', 'uk', 'fr', 'jp', 'chn', '10x', '10', '44', '285', 'yya', '275', '606001', '01119', 'art', 'g54784', 'h1221754', 'a', 'adidas', 'fsopifslooks', 'and', 'the']"
